,Main_Cause,Severity,Area Affected
171,Torrential Rain,1,128962.3
172,"Dam/Levy, break or release",1.5,21198.81
173,"Dam/Levy, break or release",1,84897.57
174,Monsoonal Rain,1,72244.8
175,"Dam/Levy, break or release",2,25504.05
176,Heavy Rain,2,309688.88
177,Torrential Rain,1.5,35725.31
178,Monsoonal Rain,1,16885.63
179,Heavy Rain,2,13472.46
180,Monsoonal Rain,1.5,23813.35
181,Heavy Rain,1,63171.41
182,Monsoonal Rain,1,147437.23
183,Monsoonal Rain,1,192748.71
184,Torrential Rain,1.5,145020.41
185,Torrential Rain,1,10843.63
186,Monsoonal Rain,1.5,15951.54
187,Torrential Rain,1.5,12555.81
188,Monsoonal Rain,1.5,38537.96
189,Monsoonal Rain,1,11289.64
190,Monsoonal Rain,1.5,57474.5
191,Monsoonal Rain,1,20807.38
192,Torrential Rain,1,41239.79
193,Monsoonal Rain,1,42377.33
194,Monsoonal Rain,1,27203.38
195,"Dam/Levy, break or release",1.5,85509.51
196,Monsoonal Rain,2,28684.15
197,Monsoonal Rain,2,40941.51
198,Monsoonal Rain,1.5,50117.38
199,Monsoonal Rain,1.5,33056.09
200,Monsoonal Rain,1.5,27751.69
201,Monsoonal Rain,1.5,29190.16
202,Monsoonal Rain,1,2638.64
203,Torrential Rain,1.5,31390.53
204,Monsoonal Rain,1,35689.54
205,Monsoonal Rain,1,29689.98
206,Torrential Rain,2,37710.76
207,Monsoonal Rain,2,42597.57
208,Tropical Cyclone,2,126082.83
209,Monsoonal Rain,1.5,131743.41
210,Monsoonal Rain,1,152700.5
211,Monsoonal Rain,2,38019.26
212,Tropical Cyclone,2,246385.23
213,Heavy Rain,1.5,102661.14
214,Monsoonal Rain,1,49220.53
215,Monsoonal Rain,1,189576.05
216,Monsoonal Rain,1.5,107474.39
217,Monsoonal Rain,1.5,62650.8
218,Monsoonal Rain,1,44290.91
219,Monsoonal Rain,1.5,61894.97
220,Tropical Cyclone,1.5,376261.49
221,Monsoonal Rain,1,115476.31
222,Heavy Rain,1.5,70287.98
223,Torrential Rain,1,14179.41
224,Monsoonal Rain,1.5,60437.23
225,Monsoonal Rain,1.5,43781.56
226,Monsoonal Rain,2,629961.61
227,Monsoonal Rain,1,69190.14
228,Tropical Cyclone,2,93202.05
229,Heavy Rain,1.5,70517.68
230,Monsoonal Rain,1.5,135742.3
231,Monsoonal Rain,1.5,167030.23
232,Monsoonal Rain,1.5,377732.88
233,Monsoonal Rain,1.5,90613.74
234,Monsoonal Rain,1.5,137435.4
235,Monsoonal Rain,1,65387.73
236,Monsoonal Rain,1,31956.12
237,Monsoonal Rain,1,43809.39
238,Monsoonal Rain,2,421575.24
239,Heavy Rain,1.5,50536.26
240,Torrential Rain,1.5,116730.41
