,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID
18,18,UEI-DFO-FL-1990-0001,21-03-1990,22-03-1990,1,Torrential rain,,,,33.8036,76.2592,1,90818.98,17,,0,,,,DFO,401
20,20,UEI-DFO-FL-1990-0003,13-06-1990,18-06-1990,5,Monsoonal rain,,,,26.7553,92.7754,2,53045.31,21,,0,,,,DFO,419
21,21,UEI-DFO-FL-1990-0004,7/3/1990,24-07-1990,139,Monsoonal rain,,,,26.7055,78.8703,1,1100663.3,425,,63517,,,,DFO,431
22,22,UEI-DFO-FL-1990-0005,13-08-1990,14-08-1990,1,Heavy rain,,,,27.5435,80.6956,1,284926.61,17,,0,,,,DFO,447
23,23,UEI-DFO-FL-1990-0006,19-08-1990,25-08-1990,6,Monsoonal rain,,,,22.4257,71.3244,1,186161.6,50,,0,,,,DFO,450
24,24,UEI-DFO-FL-1990-0007,17-10-1990,18-10-1990,1,Heavy rain,,,,26.0747,92.817,1,93839.75,10,,6000,,,,DFO,472
25,25,UEI-DFO-FL-1990-0008,24-10-1990,28-10-1990,4,Monsoonal rain,,,,11.3982,77.0504,1,13576.31,44,,0,,,,DFO,474
26,26,UEI-DFO-FL-1991-0001,5/7/1991,5/11/1991,123,Tropical cyclone,,,,24.4696,92.4232,1,26042.82,13,,25000,,,,DFO,510
27,27,UEI-DFO-FL-1991-0002,6/10/1991,6/12/1991,61,Monsoonal rain,,,,15.733,73.7324,2,491361.5,72,,300000,,,,DFO,521
28,28,UEI-DFO-FL-1991-0003,13-07-1991,19-07-1991,6,Monsoonal rain,,,,26.6059,92.9592,1,55550.83,25,,400000,,,,DFO,539
29,29,UEI-DFO-FL-1991-0004,29-07-1991,31-07-1991,2,Monsoonal rain,,,,20.9474,79.1574,1,47249.13,500,,6000,,,,DFO,553
30,30,UEI-DFO-FL-1991-0005,14-08-1991,18-08-1991,4,Heavy rain,,,,20.2047,84.4178,1,151947.06,15,,0,,,,DFO,570
31,31,UEI-DFO-FL-1991-0006,15-08-1991,29-08-1991,14,Monsoonal rain,,,,28.3671,81.0334,1,547679.02,88,,0,,,,DFO,571
32,32,UEI-DFO-FL-1991-0007,9/1/1991,14-09-1991,248,Monsoonal rain,,,,24.707,85.7348,1,170873.64,0,,87500,,,,DFO,578
33,33,UEI-DFO-FL-1991-0008,14-09-1991,15-09-1991,1,Monsoonal rain,,,,24.3395,87.8328,1,91960.65,21,,0,,,,DFO,585
34,34,UEI-DFO-FL-1991-0009,13-11-1991,18-11-1991,5,Heavy rain,,,,14.0025,79.4752,1,599564.89,90,,85000,,,,DFO,598
35,35,UEI-DFO-FL-1992-0001,15-06-1992,23-07-1992,38,Monsoonal rain,,,,16.5216,75.9695,1,752428.66,90,,8000,,,,DFO,656
38,38,UEI-DFO-FL-1992-0004,8/1/1992,9/3/1992,61,Monsoonal rain,,,,24.8678,80.7003,1,518125.28,40,,2000,,,,DFO,675
40,40,UEI-DFO-FL-1993-0001,6/4/1993,22-06-1993,77,Monsoonal rain,,,,24.9382,92.0974,1,259045.68,238,,950000,,,,DFO,747
41,41,UEI-DFO-FL-1993-0002,7/8/1993,13-08-1993,6,Monsoonal rain,,,,25.1622,89.7567,2,531506.66,3083,,9370926,,,,DFO,757
42,42,UEI-DFO-FL-1993-0003,9/9/1993,17-09-1993,8,Heavy rain,,,,27.9917,78.9675,1,65928.48,232,,4590,,,,DFO,778
44,44,UEI-DFO-FL-1993-0005,11/10/1993,14-11-1993,34,Heavy rain,,,,11.054,77.5024,1,40501.37,95,,0,,,,DFO,798
45,45,UEI-DFO-FL-1993-0006,12/4/1993,15-12-1993,247,Tropical cyclone,,,,12.5851,79.9572,1,7968.64,70,,45000,,,,DFO,804
46,46,UEI-DFO-FL-1994-0001,7/1/1994,24-07-1994,198,Monsoonal rain,,,,20.6258,76.6191,1,1981837.41,617,,800000,,,,DFO,855
47,47,UEI-DFO-FL-1994-0002,7/3/1994,7/12/1994,275,Monsoonal rain,,,,31.7869,77.252,1,52338.52,60,,0,,,,DFO,858
48,48,UEI-DFO-FL-1994-0003,8/4/1994,8/11/1994,214,Monsoonal rain,,,,27.586,80.6237,1,292130.64,53,,3000,,,,DFO,879
49,49,UEI-DFO-FL-1994-0004,8/8/1994,8/10/1994,61,Torrential rain,,,,31.7821,76.9177,1,16795.7,11,,0,,,,DFO,880
50,50,UEI-DFO-FL-1994-0005,20-08-1994,23-08-1994,3,Torrential rain,,,,31.7668,77.27,1,14450.04,9,,0,,,,DFO,887
53,53,UEI-DFO-FL-1994-0008,9/2/1994,9/7/1994,150,Monsoonal rain,,,,20.1358,84.4369,1,154649.2,0,,0,,,,DFO,895
54,54,UEI-DFO-FL-1994-0009,27-10-1994,31-10-1994,4,Tropical cyclone,,,,10.7214,78.7248,1,89229.9,40,,0,,,,DFO,909
56,56,UEI-DFO-FL-1995-0001,6/2/1995,6/3/1995,28,Heavy rain,,,,23.2582,92.8575,1,20147.72,40,,3200,,,,DFO,959
57,57,UEI-DFO-FL-1995-0002,20-06-1995,23-06-1995,3,Monsoonal rain,,,,26.0363,92.8902,1,102906.11,17,,1000000,,,,DFO,963
58,58,UEI-DFO-FL-1995-0003,9/1/1995,20-09-1995,254,Monsoonal rain,,,,28.2424,76.8263,1,762936.89,600,,2000000,,,,DFO,990
59,59,UEI-DFO-FL-1995-0004,9/5/1995,9/8/1995,92,Monsoonal rain,,,,27.5887,88.4616,1,6520.57,35,,0,,,,DFO,992
61,61,UEI-DFO-FL-1995-0006,20-10-1995,23-10-1995,3,Tropical cyclone,,,,16.4132,80.612,1,262803.2,94,,12000,,,,DFO,1027
64,64,UEI-DFO-FL-1996-0003,17-07-1996,8/10/1996,83,Heavy rain,,,,24.7685,85.6883,1,171939.46,74,,4000000,,,,DFO,1090
65,65,UEI-DFO-FL-1996-0004,21-10-1996,25-10-1996,4,Heavy Rain,,,,15.0341,78.7288,1,177527.02,326,,100000,,,,DFO,1125
66,66,UEI-DFO-FL-1996-0005,11/6/1996,11/10/1996,122,Tropical Cyclone,,,,17.0009,81.7657,2,21445.46,2500,,140000,,,,DFO,1128
67,67,UEI-DFO-FL-1997-0001,8/1/1997,8/11/1997,304,Monsoonal rain,,,,24.0572,86.2554,1,201818.75,24,,100000,,,,DFO,1168
68,68,UEI-DFO-FL-1997-0002,8/8/1997,14-08-1997,6,Monsoonal rain,,,,31.7905,77.3409,1,57530.65,200,,0,,,,DFO,1172
69,69,UEI-DFO-FL-1997-0003,22-06-1997,26-08-1997,65,Monsoonal rain,,,,22.4404,71.3091,1,183142.55,273,,20000,,,,DFO,1232
70,70,UEI-DFO-FL-1997-0004,7/5/1997,22-07-1997,76,Monsoonal rain,,,,9.49041,76.6811,1,233024.37,100,,0,,,,DFO,1256
71,71,UEI-DFO-FL-1997-0005,7/5/1997,14-07-1997,68,Monsoonal rain,,,,26.0909,92.9144,1,70603.06,97,,0,,,,DFO,1258
